frame,rep,angle,level,score
680,6,156.53413,GOOD,9
681,6,155.11673,GOOD,9
682,6,148.9782,GOOD,9
683,6,146.81552,GOOD,9
684,6,143.88968,GOOD,9
685,6,140.24437,GOOD,9
686,6,138.25243,GOOD,9
687,6,138.39702,GOOD,9
688,6,136.60349,GOOD,9
689,6,135.97758,GOOD,9
690,6,140.22832,GOOD,9
691,6,133.04938,GOOD,9
692,6,137.73073,GOOD,9
693,6,143.51376,GOOD,9
694,6,132.06348,GOOD,9
695,6,135.11456,GOOD,9
696,6,131.03658,GOOD,9
697,6,134.3483,GOOD,9
698,6,133.11252,GOOD,9
699,6,127.9404,GOOD,9
700,6,124.78731,GOOD,9
701,6,127.66919,GOOD,9
702,6,122.17003,GOOD,9
703,6,136.79437,GOOD,9
704,6,119.79755,GOOD,9
705,6,130.37558,GOOD,9
706,6,142.02373,GOOD,9
707,6,141.2479,GOOD,9
708,6,161.257,GOOD,10
709,6,138.98384,GOOD,9
710,6,140.42766,GOOD,9
711,6,135.89409,GOOD,9
712,6,143.81009,GOOD,9
713,6,146.74745,GOOD,9
714,6,152.51573,GOOD,9
715,6,123.82744,GOOD,9
716,6,114.23888,GOOD,9
717,6,144.03767,GOOD,9
718,6,147.4182,GOOD,9
719,6,114.95781,GOOD,9
720,6,103.17111,GOOD,9
721,6,111.89406,GOOD,9
722,6,97.88156,GOOD,9
723,6,109.574234,GOOD,9
724,6,108.59396,GOOD,9
725,6,116.74391,GOOD,9
726,6,110.06464,GOOD,9
727,6,116.62067,GOOD,9
728,6,111.26967,GOOD,9
729,6,107.12668,GOOD,9
730,6,112.87099,GOOD,9
731,6,116.321884,GOOD,9
732,6,127.2379,GOOD,9
733,6,125.43991,GOOD,9
734,6,131.45044,GOOD,9
735,6,130.19652,GOOD,9
736,6,131.47513,GOOD,9
737,6,133.9567,GOOD,9
738,6,133.57407,GOOD,9
739,6,137.31804,GOOD,9
740,6,140.85765,GOOD,9
741,6,144.8742,GOOD,9
742,6,145.75839,GOOD,9
743,6,149.82149,GOOD,9
744,6,149.48305,GOOD,9
745,6,149.27847,GOOD,9
746,6,155.52858,GOOD,9
747,6,154.07394,GOOD,9
748,6,153.86195,GOOD,9
749,6,156.33363,GOOD,9
750,6,153.96315,GOOD,9
751,6,160.20102,GOOD,10
752,6,162.71556,GOOD,10
753,6,166.53589,GOOD,10
754,6,166.88069,GOOD,10
755,6,168.406,GOOD,10
756,6,166.64008,GOOD,10
757,6,164.17621,GOOD,10
758,6,160.58873,GOOD,10
759,6,157.01309,GOOD,9
760,6,153.13951,GOOD,9
761,6,150.90027,GOOD,9
762,6,147.61732,GOOD,9
763,6,146.51846,GOOD,9
764,6,147.55266,GOOD,9
765,6,140.17108,GOOD,9
766,6,137.85472,GOOD,9
767,6,137.49915,GOOD,9
768,6,131.78642,GOOD,9
769,6,131.51251,GOOD,9
770,6,126.58069,GOOD,9
771,6,124.405106,GOOD,9
772,6,122.54851,GOOD,9
773,6,127.17647,GOOD,9
774,6,126.22739,GOOD,9
775,6,126.14691,GOOD,9
776,6,112.72923,GOOD,9
777,6,108.41325,GOOD,9
778,6,107.19908,GOOD,9
779,6,108.36948,GOOD,9
780,6,103.24872,GOOD,9
781,6,103.19614,GOOD,9
782,6,104.958115,GOOD,9
783,6,97.74362,GOOD,9
784,6,105.23396,GOOD,9
785,6,92.03311,GOOD,9
786,6,97.703674,GOOD,9
787,7,30.690279,RISK,6
788,7,136.58606,GOOD,9
789,7,122.09381,GOOD,9
790,7,151.57127,GOOD,9
791,7,106.99138,GOOD,9
792,7,68.81772,RISK,6
793,7,139.22952,GOOD,9
794,7,129.51457,GOOD,9
795,7,95.64813,GOOD,9
796,7,63.852512,RISK,6
797,7,111.64911,GOOD,9
798,7,106.0674,GOOD,9
799,7,114.99834,GOOD,9
800,7,105.262955,GOOD,9
801,7,103.19769,GOOD,9
802,7,112.11548,GOOD,9
803,7,121.15834,GOOD,9
804,7,108.57097,GOOD,9
805,7,112.3385,GOOD,9
806,7,115.766495,GOOD,9
807,7,111.647156,GOOD,9
808,7,108.80937,GOOD,9
809,7,118.11398,GOOD,9
810,7,120.85295,GOOD,9
811,7,122.953,GOOD,9
812,7,122.77852,GOOD,9
813,7,129.05867,GOOD,9
814,7,130.01123,GOOD,9
815,7,132.44711,GOOD,9
816,7,131.40749,GOOD,9
817,7,133.91678,GOOD,9
818,7,133.49464,GOOD,9
819,7,134.03508,GOOD,9
820,7,138.87755,GOOD,9
821,7,140.10065,GOOD,9
822,7,142.78885,GOOD,9
823,7,146.55525,GOOD,9
824,7,150.35362,GOOD,9
825,7,156.82982,GOOD,9
826,7,147.38138,GOOD,9
827,7,150.22906,GOOD,9
828,7,151.4302,GOOD,9
829,7,151.74454,GOOD,9
830,7,154.40126,GOOD,9
831,7,156.35692,GOOD,9
832,7,155.19318,GOOD,9
833,7,160.63635,GOOD,10
834,7,156.90776,GOOD,9
835,7,166.20961,GOOD,10
836,7,168.23419,GOOD,10
837,7,167.50061,GOOD,10
838,7,167.44917,GOOD,10
839,7,161.26869,GOOD,10
840,7,161.37305,GOOD,10
841,7,163.96495,GOOD,10
842,7,174.0822,GOOD,10
843,7,174.06972,GOOD,10
844,7,174.09698,GOOD,10
845,7,168.70352,GOOD,10
846,7,165.9978,GOOD,10
847,7,163.85634,GOOD,10
848,7,171.19206,GOOD,10
849,7,176.66699,GOOD,10
850,7,147.02853,GOOD,9
851,7,179.97298,GOOD,10
852,7,177.22534,GOOD,10
853,7,173.78212,GOOD,10
854,7,173.30219,GOOD,10
855,7,172.89667,GOOD,10
856,7,172.88927,GOOD,10
857,7,169.72775,GOOD,10
858,7,176.93831,GOOD,10
859,7,177.31949,GOOD,10
860,7,176.85013,GOOD,10
861,7,172.96951,GOOD,10
862,7,173.02228,GOOD,10
863,7,173.44899,GOOD,10
864,7,175.23064,GOOD,10
865,7,175.3944,GOOD,10
866,7,175.9046,GOOD,10
867,7,179.93703,GOOD,10
868,7,179.97914,GOOD,10
869,7,173.84521,GOOD,10
870,7,172.68465,GOOD,10
871,7,172.69449,GOOD,10
872,7,169.79668,GOOD,10
873,7,173.29395,GOOD,10
874,7,173.29402,GOOD,10
